Date,Well_ID,GL_Type,Choke_1_64in,THP_bar,THT_C,Pres_DS_Choke_bar,Temp_DS_Choke_C,CHP_bar,CHT_C,TAP_bar,BCP_bar,Bottom_Press_bar,Bottom_Temp_C,Water_pct,Emulsion_pct,Sand_pct,BSW_pct,H2S_ppm
2000-06-23 08:00:00,Well_278,Short String GL,20.0,15.0,,7.5,25.0,82.5,,35.9,7.9,,,27.0,0.0,0.01,27.01,0.0
2000-06-23 10:00:00,Well_278,Short String GL,20.0,17.5,,7.5,25.0,82.5,,35.9,7.9,,,30.0,0.0,0.01,30.01,0.0
2000-06-23 12:00:00,Well_278,Short String GL,20.0,20.0,,7.5,26.0,82.5,,35.9,7.9,,,25.0,0.0,0.01,25.01,0.0
2000-06-23 14:00:00,Well_278,Short String GL,20.0,23.0,,7.5,26.0,82.5,,35.9,7.9,,,28.0,0.0,0.02,28.02,0.0
2000-06-23 16:00:00,Well_278,Short String GL,20.0,26.0,,7.5,26.0,82.5,,35.9,7.9,,,29.0,0.0,0.01,29.01,0.0
2000-06-23 18:00:00,Well_278,Short String GL,20.0,18.0,,7.5,26.0,82.5,,35.9,7.9,,,24.0,0.0,0.01,24.01,0.0
2000-06-23 20:00:00,Well_278,Short String GL,20.0,24.0,,7.5,26.0,82.5,,35.9,7.9,,,30.0,0.0,0.02,30.02,0.0
2000-06-23 22:00:00,Well_278,Short String GL,20.0,28.0,,7.5,26.0,82.5,,35.9,7.9,,,22.0,0.0,0.01,22.01,0.0
2000-06-24 00:00:00,Well_278,Short String GL,20.0,22.0,,7.5,26.0,82.5,,35.9,7.9,,,25.0,0.0,0.01,25.01,0.0
2000-06-24 02:00:00,Well_278,Short String GL,20.0,25.5,,7.5,26.0,82.5,,35.9,7.9,,,28.0,0.0,0.02,28.02,0.0
2000-06-24 04:00:00,Well_278,Short String GL,20.0,25.0,,7.5,26.0,82.5,,35.9,7.9,,,23.0,0.0,0.01,23.01,0.0
2000-06-24 06:00:00,Well_278,Short String GL,20.0,28.0,,7.5,26.0,82.5,,35.9,7.9,,,18.0,0.0,0.01,18.01,0.0
2000-06-24 08:00:00,Well_278,Short String GL,20.0,34.0,,7.5,27.0,82.5,,35.9,7.9,,,20.0,0.0,0.01,20.01,0.0
2000-06-24 10:00:00,Well_278,Short String GL,20.0,27.5,,7.5,27.0,82.5,,35.9,7.9,,,24.0,0.0,0.01,24.01,0.0
2000-06-24 12:00:00,Well_278,Short String GL,20.0,23.5,,7.5,27.0,82.5,,35.9,7.9,,,26.0,0.0,0.01,26.01,0.0
2000-06-24 14:00:00,Well_278,Short String GL,20.0,21.0,,7.5,27.0,82.5,,35.9,7.9,,,28.0,0.0,0.01,28.01,0.0
2000-06-24 16:00:00,Well_278,Short String GL,20.0,22.0,,7.5,27.0,82.5,,35.9,7.9,,,22.0,0.0,0.01,22.01,0.0
2000-06-24 18:00:00,Well_278,Short String GL,20.0,26.5,,7.5,27.0,82.5,,35.9,7.9,,,25.0,0.0,0.01,25.01,0.0
2000-06-24 20:00:00,Well_278,Short String GL,20.0,25.5,,7.5,27.0,82.5,,35.9,7.9,,,28.0,0.0,0.01,28.01,0.0
2000-06-24 22:00:00,Well_278,Short String GL,20.0,26.5,,7.5,27.0,82.5,,35.9,7.9,,,30.0,0.0,0.01,30.01,0.0
2000-06-25 00:00:00,Well_278,Short String GL,20.0,28.0,,7.5,27.0,82.5,,35.9,7.9,,,24.0,0.0,0.01,24.01,0.0
2000-06-25 02:00:00,Well_278,Short String GL,20.0,13.5,,7.5,27.0,82.5,,35.9,7.9,,,35.0,0.0,0.02,35.02,0.0
2000-06-25 04:00:00,Well_278,Short String GL,20.0,21.0,,7.5,27.0,82.5,,35.9,7.9,,,29.0,0.0,0.02,29.02,0.0
2000-06-25 06:00:00,Well_278,Short String GL,20.0,32.5,,7.5,27.0,82.5,,35.9,7.9,,,33.0,0.0,0.01,33.01,0.0
2000-06-25 08:00:00,Well_278,Short String GL,20.0,17.5,,7.5,27.0,82.5,,35.9,7.9,,,30.0,0.0,0.01,30.01,0.0
2000-06-25 10:00:00,Well_278,Short String GL,20.0,22.5,,7.5,27.0,82.5,,35.9,7.9,,,35.0,0.0,0.01,35.01,0.0
2000-06-25 12:00:00,Well_278,Short String GL,20.0,31.0,,7.5,27.0,82.5,,35.9,7.9,,,31.0,0.0,0.01,31.01,0.0
2000-06-25 14:00:00,Well_278,Short String GL,20.0,18.0,,7.5,27.0,82.5,,35.9,7.9,,,28.0,0.0,0.01,28.01,0.0
2000-06-25 16:00:00,Well_278,Short String GL,20.0,32.0,,7.5,27.0,82.5,,35.9,7.9,,,34.0,0.0,0.01,34.01,0.0
2000-06-25 18:00:00,Well_278,Short String GL,20.0,24.5,,7.5,27.0,82.5,,35.9,7.9,,,30.0,0.0,0.01,30.01,0.0
2000-06-25 20:00:00,Well_278,Short String GL,20.0,27.0,,7.5,27.0,82.5,,35.9,7.9,,,26.0,0.0,0.01,26.01,0.0
2000-06-25 22:00:00,Well_278,Short String GL,20.0,28.0,,7.5,27.0,82.5,,35.9,7.9,,,23.0,0.0,0.01,23.01,0.0
2000-06-26 00:00:00,Well_278,Short String GL,20.0,29.0,,7.5,27.0,82.5,,35.9,7.9,,,25.0,0.0,0.01,25.01,0.0
2000-06-26 02:00:00,Well_278,Short String GL,20.0,30.5,,7.5,27.0,82.5,,35.9,7.9,,,29.0,0.0,0.02,29.02,0.0
2000-06-26 04:00:00,Well_278,Short String GL,20.0,20.5,,7.5,27.0,82.5,,35.9,7.9,,,24.0,0.0,0.01,24.01,0.0
